Year,Revenue,Expenses,Profit,Assets,Liabilities,Equity
2010,1876543.21,1243560.98,632982.23,3987654.32,2654321.09,1333333.23
2011,2345678.32,1765432.10,580246.22,4876543.21,3543210.98,1333332.23
2012,2987654.43,2387654.32,600000.11,5765432.10,4432109.87,1333322.23
2013,3654321.54,3054321.43,599999.11,6654321.09,5321098.76,1333222.33
2014,4321098.65,3721098.54,599999.11,7543210.98,6210987.65,1332223.33
2015,4987654.76,4387654.65,600000.11,8432109.87,7109876.54,1322233.33
2016,5654321.87,5054321.76,600000.11,9321098.76,7998765.43,1322333.33
2017,6321098.98,5721098.87,600000.11,10210987.65,8887654.32,1323333.33
2018,6987654.09,6387654.98,599999.11,11109876.54,9776543.21,1333333.33
2019,7654321.10,7054321.09,599999.01,12098765.43,10665432.10,1433333.33
2020,8321098.21,7721098.20,600000.01,13087654.32,11554321.09,1533333.23
2021,8987654.32,8387654.31,600000.01,14076543.21,12443210.98,1633332.23
2022,9654321.43,9054321.42,600000.01,15065432.10,13332109.87,1733322.23
2023,10321098.54,9721098.53,600000.01,16054321.09,14221098.76,1833222.33
2024,10987654.65,10387654.64,600000.01,17043210.98,15110987.65,1932223.33
